(0.001060230067676460,-0.030989998116379910)
(-0.008785403335005045,-0.032283454365632354)
(-0.017381424277137736,-0.030686709346009609)
(-0.023976588436135180,-0.026458179157200730)
(-0.028029617672471238,-0.020068796471362105)
(-0.029251272460184927,-0.012153391544238334)
(-0.027622416523003401,-0.003450720787078147)
(-0.076634640705554244,-0.010133413316615126)
(-0.069946820388188266,0.011126117575409588)
(-0.058143754618228259,0.030297729361414231)
(-0.042304096769787684,0.045931763082778965)
(-0.023826351219229214,0.056854179547802669)
(-0.004323645331265439,0.062277049153927504)
(0.014508691888973468,0.061878466302193777)
(0.031040151165669327,0.055840592795129512)
(0.043851408091697144,0.044839693379777695)
(0.051864347829457862,0.029987885127569225)
(0.054441734742824169,0.012731988243925598)
(0.051445869165937269,-0.005280369077465573)
(0.043250057398727920,-0.022353852556932424)
(0.030701725599553174,-0.036902431087057180)
(0.015040956302840039,-0.047594906434870660)
(-0.002217382352523361,-0.053475044477581363)
(-0.019426305919636656,-0.054045170117380505)
(-0.034960364522045720,-0.049305848861532539)
(-0.047365633952923619,-0.039748625838624749)
(-0.055491992202079878,-0.026303305604281308)
(-0.058595528839803873,-0.010245513174589507)
(-0.056401944543831357,0.006926107857034812)
(-0.049125612643376754,0.023631050854351528)
(-0.037443222279267871,0.038352981146565365)
(-0.022425196831215671,0.049777011839100826)
(-0.005431977619969421,0.056905704781351762)
(0.012014581027702129,0.059143555986880404)
(0.028372329637385865,0.056342908066650474)
(0.042219158015437665,0.048807998072228520)
(0.052379600691439598,0.037257823628410174)
(0.058026328512887262,0.022752309515509658)
(0.058747735396061533,0.006589525397002223)
(0.054576184602488892,-0.009815849946681899)
(0.045975258334008257,-0.025061205850037245)
(0.033788189487977641,-0.037879916263030396)
(0.019153182289256551,-0.047249417071458022)
(0.003394226789231302,-0.052474185503479827)
(-0.012101971666739205,-0.053236971002180847)
(-0.026011354037701571,-0.049614749985690973)
(-0.037188694290381283,-0.042059204470427318)
(-0.044764326639513852,-0.031344740348541497)
(-0.048213219347587405,-0.018489873251904897)
(-0.047390977173031826,-0.004659977123714747)
(-0.042534536799687717,0.008939257553437795)
(-0.034228601285585372,0.021167859519096596)
(-0.023341936146553402,0.031047762896759944)
(-0.010940246775961428,0.037841071990476163)
(0.001815745543280512,0.041104269859750214)
(0.013777361426031906,0.040714630945957057)
(0.023910348924307830,0.036867713527381024)
(0.031383543486541557,0.030047398376993450)
(0.035636292067392050,0.020972275838562843)
(0.036419296161970274,0.010524070284869038)
(0.033806097698423097,-0.000334914672087839)
(0.028175159371169000,-0.010647727037346497)
(0.020165126986473447,-0.019544542530194595)
(0.010608173644895627,-0.026313474980176624)
(0.000448120026684783,-0.030454878597202310)
(-0.009348838766881123,-0.031715276025152402)
(-0.017882568092052815,-0.030098962738736731)
(-0.024398701107731405,-0.025857317661733367)
(-0.028352758629546497,-0.019457720291156458)
(-0.029453422734345983,-0.011535585040256122)
(-0.027681717957511121,-0.002834254922183371)
(-0.073588830339477440,-0.003534445326535652)
(-0.065117865482018505,0.016619111062735989)
(-0.051931054108096827,0.034260404680653694)
(-0.035211685815861885,0.048091019445718620)
(-0.016411931670598803,0.057109648466901919)
(0.002857263589694432,0.060702574666917954)
(0.020955759438813906,0.058704202228419822)
(0.036351917666066429,0.051419197670468555)
(0.047755198921318673,0.039601957557308484)
(0.054230296539939285,0.024393905965524706)
(0.055280999073371723,0.007223838942594280)
(0.050894941721802131,-0.010319424930746068)
(0.041544363292803345,-0.026629901446171472)
(0.028142428599235179,-0.040229068993571315)
(0.011959100924501597,-0.049898448011127840)
(-0.005495503626929183,-0.054787626472908454)
(-0.022609255301678160,-0.054487745256809494)
(-0.037814652392124226,-0.049063888134225110)
(-0.049730288453391419,-0.039043805667133412)
(-0.057284093836742711,-0.025364548669115208)
(-0.059807149625432418,-0.009282502629095583)
(-0.057089747749945977,0.007744360847160557)
(-0.049394986181768255,0.024190763951083823)
(-0.037429192265604920,0.038602345632038050)
(-0.022272478998480675,0.049725104839980078)
(-0.005276381542773047,0.056614397394373191)
(0.012061542254948749,0.058713942364274671)
(0.028234297899764556,0.055898259805249012)
(0.041860550858819207,0.048475472517983925)
(0.051805927300483605,0.037151116610659750)
(0.057279720118970714,0.022957164953097471)
(0.057898681985064412,0.007153544105138373)
(0.053712786851329949,-0.008888255637754066)
(0.045191444034175833,-0.023808510262871431)
(0.033172308307112999,-0.036378248240327316)
(0.018778202621655936,-0.045603338017760134)
(0.003310450537233557,-0.050804794749885432)
(-0.011871139250307181,-0.051668853880924938)
(-0.025470441114056705,-0.048263294985745456)
(-0.036368238213866338,-0.041019652862241074)
(-0.043716523691620740,-0.030684026988091542)
(-0.047005889548785471,-0.018241917080169028)
(-0.046100681228587070,-0.004824637927033101)
(-0.041239668623485326,0.008393768690806550)
(-0.033003170280001881,0.020299695977585221)
(-0.022250572697193195,0.029934131902365019)
(-0.010034742867689881,0.036569889274184503)
(0.002498278387044275,0.039765785301148035)
(0.014214842062537824,0.039393923917774826)
(0.024094870017812204,0.035638751796977716)
(0.031319691581366056,0.028969085131717011)
(0.035339055833152701,0.020086614686795585)
(0.035911937449743872,0.009856297374888003)
(0.033118270434284836,-0.000774614021721498)
(0.027341437940869313,-0.010861456212859942)
(0.019223971021089463,-0.019543491141223963)
(0.009601232539092248,-0.026114854761986613)
(-0.000580312330896077,-0.030079467669670869)
(-0.010352456693935135,-0.031185870999732808)
(-0.018814008559826990,-0.029439834001578839)
(-0.025211000728633050,-0.025094556788062966)
(-0.029001399082828793,-0.018620190620174584)
(-0.029898929248868406,-0.010656062780821015)
(-0.027892646775265213,-0.001950296444369067)
(-0.069469132842794518,0.004450470163143407)
(-0.059139181710294433,0.023169936256298818)
(-0.044565730247902939,0.038990942980506711)
(-0.027012650698549114,0.050773625256938730)
(-0.007965243119856007,0.057688537660320373)
(0.010982840501328469,0.059290402460090576)
(0.028256072571409923,0.055562378785699973)
(0.042426348845133549,0.046924677127488629)
(0.052333355953238875,0.034204837549896616)
(0.057184457386374191,0.018570984031847867)
(0.056624124663162523,0.001433313659196304)
(0.050765689170261127,-0.015677518744975864)
(0.040181770515040086,-0.031243990908667512)
(0.025853730403410633,-0.043894861636007337)
(0.009084467320195418,-0.052525457352822318)
(-0.008617605386084880,-0.056393917803423524)
(-0.025672813617744032,-0.055184547950537927)
